,Image,MJD,Filter,Exptime,Object_RA,Object_Dec,Image_target,Telescope/Instrument,MetaData,Datalink,targetname,datetime_str,datetime_jd,M1,solar_presence,k1,lunar_presence,RA,DEC,RA_app,DEC_app,RA_rate,DEC_rate,AZ,EL,AZ_rate,EL_rate,sat_X,sat_Y,sat_PANG,siderealtime,airmass,magextinct,Tmag,Nmag,illumination,illum_defect,sat_sep,sat_vis,ang_width,PDObsLon,PDObsLat,PDSunLon,PDSunLat,SubSol_ang,SubSol_dist,NPole_ang,NPole_dist,EclLon,EclLat,r,r_rate,delta,delta_rate,lighttime,vel_sun,vel_obs,elong,elongFlag,alpha,lunar_elong,lunar_illum,sat_alpha,sunTargetPA,velocityPA,OrbPlaneAng,constellation,TDB-UT,ObsEclLon,ObsEclLat,NPole_RA,NPole_DEC,GlxLon,GlxLat,solartime,earth_lighttime,RA_3sigma,DEC_3sigma,SMAA_3sigma,SMIA_3sigma,Theta_3sigma,Area_3sigma,RSS_3sigma,r_3sigma,r_rate_3sigma,SBand_3sigma,XBand_3sigma,DoppDelay_3sigma,true_anom,hour_angle,alpha_true,PABLon,PABLat,Limiting,Saturation
0,rings.v3.skycell.1910.049.wrp.z.55288_57632,55288.5768913111,z,30,270.115248909087,25.8289816924424,1910.049,Pan-STARRS1,,,Lemmon-Siding Spring (C/2008 FK7,2010-Jun-14 13:07:11.521,2455362.046661123,9.7,,5.25,,267.077886501,40.685335882,267.171863897,40.681471452,-16.0597,16.53833,,,,,-580790.92,62670.887,356.308,,999,,16.217,,99.0005,,417297.6,*,,,,,,4.51,0.0,,,264.311879,52.604489,4.592881499553,-2.62926,4.05718898396357,-0.5975976,33.74261187,19.6683411,18.8523207,115.916,/L,11.4755,114.0,5.7672,52.6093,184.538,235.101,-8.87426,Her,66.184588,265.090972,64.07164,,,66.604844,28.732468,,0.0,0.07,0.058,0.072,0.055,20.695,0.0124699,0.091,392.2164,9.2e-06,0.17,0.61,0.002617,344.6565,,11.4754,264.5668,58.3381,20.9,14.5
1,rings.v3.skycell.1910.049.wrp.z.55288_58528,55288.5858544111,z,30,270.116008905275,25.8311328364426,1910.049,Pan-STARRS1,,,Lemmon-Siding Spring (C/2008 FK7,2010-Jun-15 13:07:11.521,2455363.046661123,9.7,,5.25,,266.936479378,40.793844329,267.030327269,40.789914648,-16.1225,15.97211,,,,,-584501.61,62902.015,357.31,,999,,16.216,,98.99809,,416966.3,*,,,,,,3.3,0.0,,,264.495876,52.689771,4.591369755008,-2.6057672,4.05691437818133,-0.3537488,33.74032804,19.6715694,18.5521826,115.824,/L,11.4893,111.3,12.4756,52.689,183.329,234.997,-9.02453,Her,66.184562,264.8340456,64.1750346,,,66.699848,28.860293,,0.0,0.07,0.058,0.071,0.055,20.807,0.0124336,0.09,391.7467,9.2e-06,0.17,0.6,0.002613,344.7969,,11.4893,264.5661,58.432,20.9,14.5
2,rings.v3.skycell.2139.087.wrp.i.55350_56543,55350.5660822167,i,45,268.54747403115,39.2514427419477,2139.087,Pan-STARRS1,,,Lemmon-Siding Spring (C/2008 FK7,2010-Jun-16 13:07:11.521,2455364.046661123,9.7,,5.25,,266.79434679,40.898572033,266.888058488,40.894575623,-16.1714,15.40401,,,,,-588243.41,63144.224,358.308,,999,,16.215,,98.99555,,416604.8,*,,,,,,2.09,0.0,,,264.680712,52.774822,4.589871588872,-2.5822435,4.05677988231354,-0.1124308,33.73920947,19.6747703,18.2536319,115.7236,/L,11.5039,107.3,21.2736,52.7763,182.121,234.891,-9.17195,Her,66.184535,264.5751448,64.274361,,,66.791005,28.987491,,0.0,0.069,0.058,0.071,0.055,20.91,0.012397,0.09,391.2807,9.2e-06,0.17,0.6,0.00261,344.9374,,11.5039,264.5654,58.5242,21.5,14.5
3,rings.v3.skycell.2139.088.wrp.r.55352_53297,55352.5336062815,r,40,268.298751094136,39.5399428338557,2139.088,Pan-STARRS1,,,Lemmon-Siding Spring (C/2008 FK7,2010-Jun-17 13:07:11.521,2455365.046661123,9.7,,5.25,,266.651616848,40.99950808,266.745186028,40.995447488,-16.2064,14.83454,,,,,-592016.29,63397.535,359.302,,999,,16.215,,98.99289,,416213.5,*,,,,,,0.88,0.0,,,264.866392,52.85964,4.588387018965,-2.5586889,4.05678399969492,0.126239,33.73924371,19.6779436,17.9569948,115.6149,/L,11.5191,102.3,31.5958,52.8712,180.915,234.784,-9.31648,Her,66.184509,264.3145485,64.3696091,,,66.878311,29.113988,,0.0,0.069,0.058,0.071,0.056,21.003,0.0123602,0.09,390.8183,9.1e-06,0.16,0.6,0.002607,345.078,,11.5192,264.5649,58.6146,21.5,14.5
4,rings.v3.skycell.2139.088.wrp.r.55352_54536,55352.5459881815,r,40,268.297162599549,39.5417179167974,2139.088,Pan-STARRS1,,,Lemmon-Siding Spring (C/2008 FK7,2010-Jun-18 13:07:11.521,2455366.046661123,9.7,,5.25,,266.508416826,41.096644772,266.601840143,41.092525551,-16.2278,14.26416,,,,,593512.042,63661.965,0.292,,999,,16.214,,98.99011,,415792.8,*,,,,,,359.68,0.0,,,265.052918,52.944222,4.586916062966,-2.5351037,4.05692517310377,0.3621691,33.74041782,19.6810892,17.6625909,115.498,/T,11.5351,96.7,42.7944,52.9736,179.711,234.677,-9.45806,Her,66.184482,264.0525418,64.4607731,,,66.961762,29.239712,,0.0,0.069,0.058,0.071,0.056,21.085,0.0123232,0.09,390.3594,9.1e-06,0.16,0.59,0.002604,345.2187,,11.5351,264.5645,58.7032,21.5,14.5
5,rings.v3.skycell.2207.010.wrp.g.55361_39274,55361.3933932426,g,43,267.099381277511,40.6679194027443,2207.010,Pan-STARRS1,,,Lemmon-Siding Spring (C/2008 FK7,2010-Jun-19 13:07:11.521,2455367.046661123,9.7,,5.25,,266.364872769,41.189977173,266.458151398,41.185806086,-16.2358,13.69324,,,,,589526.541,63937.518,1.277,,999,,16.213,,98.98721,,415343.3,*,,,,,,358.48,0.0,,,265.240292,53.028564,4.58545873842,-2.5114883,4.05720180059594,0.595296,33.74271846,19.6842071,17.3707222,115.3731,/T,11.5516,90.8,54.2123,53.0834,178.509,234.569,-9.59664,Her,66.184455,263.7894137,64.5478509,,,67.041357,29.364591,,0.0,0.069,0.058,0.07,0.056,21.156,0.0122861,0.09,389.9039,9.1e-06,0.16,0.59,0.002601,345.3595,,11.5517,264.5645,58.79,21.5,14.5
6,rings.v3.skycell.2207.010.wrp.g.55361_39340,55361.3940485426,g,43,267.099288907516,40.6679918680024,2207.010,Pan-STARRS1,,,Lemmon-Siding Spring (C/2008 FK7,2010-Jun-20 13:07:11.521,2455368.046661123,9.7,,5.25,,266.22110934,41.27950266,266.314249154,41.275285785,-16.2307,13.12209,,,,,585571.898,64224.184,2.257,,999,,16.213,,98.9842,,414865.3,*,,,,,,357.28,0.0,,,265.428519,53.112663,4.584015062732,-2.4878427,4.05761225131588,0.8255826,33.74613207,19.6872972,17.0816675,115.2404,/T,11.5688,85.1,65.2356,53.2003,177.31,234.46,-9.73218,Her,66.184428,263.5254538,64.630844,,,67.117096,29.488557,,0.0,0.068,0.058,0.07,0.056,21.216,0.012249,0.09,389.4516,9.1e-06,0.16,0.59,0.002598,345.5004,,11.569,264.5648,58.8751,21.5,14.5
7,rings.v3.skycell.2207.010.wrp.g.55361_39405,55361.3946945426,g,43,267.099197848433,40.6680633048358,2207.010,Pan-STARRS1,,,Lemmon-Siding Spring (C/2008 FK7,2010-Jun-21 13:07:11.521,2455369.046661123,9.7,,5.25,,266.077249836,41.365220545,266.170260421,41.360961798,-16.2126,12.55099,,,,,581648.231,64521.945,3.233,,999,,16.212,,98.98108,,414359.4,*,,,,,,356.08,0.0,,,265.617601,53.196517,4.582585053167,-2.4641674,4.05815487961387,1.053014,33.75064497,19.6903595,16.7956822,115.0998,/T,11.5867,79.7,75.3269,53.3244,176.114,234.35,-9.86462,Her,66.1844,263.2609501,64.7097565,,,67.188981,29.611542,,0.0,0.068,0.058,0.07,0.056,21.265,0.0122117,0.089,389.0024,9.1e-06,0.16,0.58,0.002595,345.6413,,11.5868,264.5655,58.9584,21.5,14.5
8,rings.v3.skycell.2207.010.wrp.g.55361_40542,55361.4060673426,g,43,267.097594757499,40.6693209469691,2207.010,Pan-STARRS1,,,Lemmon-Siding Spring (C/2008 FK7,2010-Jun-22 13:07:11.521,2455370.046661123,9.7,,5.25,,265.933416334,41.447131762,266.026309288,41.442832124,-16.1817,11.98015,,,,,577755.609,64830.774,4.202,,999,,16.212,,98.97784,,413826.2,*,,,,,,354.89,0.0,,,265.80754,53.280123,4.58116872685,-2.4404624,4.05882803667816,1.2775933,33.75624345,19.6933939,16.5130016,114.9517,/T,11.6051,75.0,84.0432,53.4555,174.92,234.24,-9.99393,Her,66.184373,262.9961876,64.7845952,,,67.257014,29.733482,,0.0,0.068,0.058,0.07,0.056,21.303,0.0121744,0.089,388.5563,9.1e-06,0.16,0.58,0.002592,345.7824,,11.6052,264.5668,59.0398,21.5,14.5
9,rings.v3.skycell.2207.010.wrp.g.55361_40606,55361.4067112426,g,43,267.097503994429,40.6693921515773,2207.010,Pan-STARRS1,,,Lemmon-Siding Spring (C/2008 FK7,2010-Jun-23 13:07:11.521,2455371.046661123,9.7,,5.25,,265.789729913,41.525238644,265.882516927,41.520896163,-16.1382,11.40977,,,,,573894.06,65150.643,5.166,,999,,16.212,,98.97451,,413266.1,*,,,,,,353.7,0.0,,,265.99834,53.363476,4.57976610076,-2.4167282,4.05963007947197,1.4993367,33.76291384,19.6964003,16.2338443,114.7961,/T,11.624,71.1,91.0452,53.5935,173.731,234.13,-10.12007,Her,66.184345,262.7314481,64.8553694,,,67.321198,29.85431,,0.0,0.068,0.058,0.07,0.056,21.329,0.0121372,0.089,388.113,9.1e-06,0.16,0.58,0.002589,345.9235,,11.6242,264.5686,59.1196,21.5,14.5
